rowID,playerID,gameID,game_date,away,opp,game_result,passYDS,passTD,passINT,rushYDS,rushTD,rec,recYDS,recTD,krtd,prtd,passBonus,rushBonus,recBonus,fpts
145,10,1,1990-10-28,0,CLE,W 20-17,185,1,2,32,0,0,0,0,0,0,0,0,0,12.6
146,10,2,1990-12-30,1,MIN,W 20-17,88,0,1,5,0,0,0,0,0,0,0,0,0,3.02
147,10,3,1989-09-24,1,PHI,W 38-28,428,5,1,14,0,0,0,0,0,0,3,0,0,40.52
148,10,4,1985-10-27,1,RAM,W 28-14,306,3,0,4,0,0,0,0,0,0,3,0,0,27.64
149,10,5,1981-12-20,1,NOR,W 21-17,106,2,0,10,0,0,0,0,0,0,0,0,0,13.24
150,10,6,1987-11-29,0,CLE,W 38-24,342,4,1,43,0,0,0,0,0,0,3,0,0,35.98
151,10,7,1984-12-08,0,MIN,W 51-7,246,3,0,4,0,0,0,0,0,0,0,0,0,22.24
152,10,8,1988-11-27,1,SDG,W 48-10,271,3,0,14,0,0,0,0,0,0,0,0,0,24.24
153,10,9,1985-09-29,0,NOR,L 17-20,120,0,2,14,0,0,0,0,0,0,0,0,0,4.2
154,10,10,1989-11-12,0,ATL,W 45-3,270,3,0,13,1,6,0,0,0,0,0,0,0,36.1
155,10,11,1979-12-02,1,STL,L 10-13,36,0,0,22,0,0,0,0,0,0,0,0,0,3.64
156,10,12,1989-10-08,1,NOR,W 24-20,291,3,0,11,0,0,0,0,0,0,0,0,0,24.74
157,10,13,1985-10-20,1,DET,L 21-23,97,0,1,17,1,6,0,0,0,0,0,0,0,16.58
158,10,14,1983-09-03,0,PHI,L 17-22,118,0,1,10,0,0,0,0,0,0,0,0,0,4.72
159,10,15,1984-10-28,1,RAM,W 33-0,365,3,0,11,0,0,0,0,0,0,3,0,0,30.7
160,10,16,1983-09-08,1,MIN,W 48-17,230,4,0,8,0,0,0,0,0,0,0,0,0,26
161,11,1,1992-12-06,0,CIN,W 37-21,239,2,0,0,0,0,0,0,0,0,0,0,0,17.56
162,11,2,1986-11-16,1,RAI,L 14-27,188,0,2,2,0,0,0,0,0,0,0,0,0,5.72
163,11,3,1987-12-13,0,CIN,W 38-24,241,4,0,0,0,0,0,0,0,0,0,0,0,25.64
164,11,4,1989-09-25,1,CIN,L 14-21,203,2,0,1,0,0,0,0,0,0,0,0,0,16.22
165,11,5,1987-11-22,1,HOU,W 40-7,257,2,0,0,0,0,0,0,0,0,0,0,0,18.28
166,11,6,1989-11-05,1,TAM,W 42-31,164,3,0,-6,0,0,0,0,0,0,0,0,0,17.96
167,11,7,1985-10-27,0,WAS,L 7-14,84,0,2,-2,0,0,0,0,0,0,0,0,0,1.16
168,11,8,1988-12-04,0,DAL,W 24-21,308,3,0,0,0,0,0,0,0,0,3,0,0,27.32
169,11,9,1990-09-23,0,SDG,L 14-24,232,0,3,0,0,0,0,0,0,0,0,0,0,6.28
170,11,10,1989-10-23,0,CHI,W 27-7,281,2,0,1,0,0,0,0,0,0,0,0,0,19.34
171,11,11,1991-09-08,1,NWE,W 20-0,187,2,0,-3,0,0,0,0,0,0,0,0,0,15.18
172,11,12,1986-11-30,0,HOU,W 13-10,172,1,3,12,0,0,0,0,0,0,0,0,0,9.08
173,11,13,1993-09-19,1,RAI,W 19-16,71,0,3,0,0,0,0,0,0,0,0,0,0,-0.16
174,11,14,1986-12-21,0,SDG,W 47-17,258,2,0,17,0,0,0,0,0,0,0,0,0,20.02
175,11,15,1986-11-02,1,IND,W 24-9,238,3,0,-2,0,0,0,0,0,0,0,0,0,21.32
176,11,16,1989-10-15,0,PIT,L 7-17,162,0,4,9,0,1,-7,0,0,0,0,0,0,3.68
177,12,1,2003-09-28,1,NOR,W 55-21,314,6,0,1,0,0,0,0,0,0,3,0,0,39.66
178,12,2,2008-11-30,1,CLE,W 10-6,125,0,2,-2,0,0,0,0,0,0,0,0,0,2.8
179,12,3,2001-12-10,1,MIA,L 6-41,173,0,3,5,0,0,0,0,0,0,0,0,0,4.42
180,12,4,2000-10-22,0,NWE,W 30-23,268,3,0,0,0,0,0,0,0,0,0,0,0,22.72
181,12,5,2008-10-19,1,GNB,L 14-34,229,0,2,-1,0,0,0,0,0,0,0,0,0,7.06
182,12,6,2005-12-04,0,TEN,W 35-3,187,3,0,-1,0,0,0,0,0,0,0,0,0,19.38
183,12,7,2007-12-09,1,BAL,W 44-20,249,4,0,0,0,0,0,0,0,0,0,0,0,25.96
184,12,8,1998-09-20,1,NYJ,L 6-44,193,0,2,26,0,0,0,0,0,0,0,0,0,8.32
185,12,9,1998-11-08,1,MIA,L 14-27,140,1,2,0,0,0,0,0,0,0,0,0,0,7.6
186,12,10,2010-09-19,0,NYG,W 38-14,255,3,0,-3,0,0,0,0,0,0,0,0,0,21.9
187,12,11,2002-11-10,1,PHI,W 35-13,319,3,0,11,0,0,0,0,0,0,3,0,0,28.86
188,12,12,2003-12-14,0,ATL,W 38-7,290,5,0,0,0,0,0,0,0,0,0,0,0,31.6
189,12,13,2005-09-18,0,JAX,W 10-3,122,0,1,0,0,0,0,0,0,0,0,0,0,3.88
190,12,14,2004-11-08,0,MIN,W 31-28,268,4,0,20,0,0,0,0,0,0,0,0,0,28.72
191,12,15,2005-10-02,1,TEN,W 31-10,264,4,0,3,0,0,0,0,0,0,0,0,0,26.86
192,12,16,2008-12-28,0,TEN,W 23-0,95,1,0,0,0,0,0,0,0,0,0,0,0,7.8
193,13,1,1989-09-24,0,WAS,L 7-30,83,0,2,3,0,0,0,0,0,0,0,0,0,1.62
194,13,2,1989-11-23,0,PHI,L 0-27,54,0,3,25,0,0,0,0,0,0,0,0,0,1.66
195,13,3,1993-11-07,0,NYG,W 31-9,162,2,0,17,0,0,0,0,0,0,0,0,0,16.18
196,13,4,1994-10-23,1,ARI,W 28-21,51,1,0,0,0,0,0,0,0,0,0,0,0,6.04
197,13,5,2000-10-29,0,JAX,L 17-23,43,1,0,0,0,0,0,0,0,0,0,0,0,5.72
198,13,6,2000-09-03,0,PHI,L 14-41,0,0,1,0,0,0,0,0,0,0,0,0,0,-1
199,13,7,1992-09-20,0,PHO,W 31-20,263,3,0,8,0,0,0,0,0,0,0,0,0,23.32
