rowID,playerID,gameID,Year,Date,G#,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,TD,Pts,KRt,KRYds,Y/Rt,KRTD,PRet,PRYds,Y/R,PRTD,PassBonus,RushBonus,RecBonus,FPTs,
,74,8,1992,10/26/1992,7,26-163,BUF,@,NYJ,W 24-20,21,142,6.76,0,4,3,22,7.33,1,75.00%,5.5,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,28.4,
,74,9,1990,10/28/1990,7,24-165,BUF,@,NWE,W 27-10,22,136,6.18,1,,1,9,9,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,24.5,
,74,10,1991,11/18/1991,11,25-186,BUF,@,MIA,W 41-27,23,135,5.87,1,,3,40,13.33,1,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,35.5,
,74,11,1997,9/14/1997,3,31-121,BUF,@,KAN,L 16-22,10,17,1.7,0,4,4,23,5.75,0,100.00%,5.75,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,8,
,74,12,1997,9/7/1997,2,31-114,BUF,@,NYJ,W 28-22,12,18,1.5,1,2,0,0,,0,0.00%,0,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,7.8,
,74,13,1996,9/8/1996,2,30-115,BUF,,NWE,W 17-10,15,22,1.47,1,1,1,6,6,0,100.00%,6,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,9.8,
,74,14,1993,11/28/1993,11,27-196,BUF,@,KAN,L 7-23,15,25,1.67,0,7,6,44,7.33,0,85.70%,6.29,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,12.9,
,74,15,1995,9/17/1995,3,29-124,BUF,,IND,W 20-14,19,25,1.32,1,3,2,7,3.5,0,66.70%,2.33,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,11.2,
,74,16,1992,11/1/1992,8,26-169,BUF,,NWE,W 16-7,12,29,2.42,0,5,5,45,9,0,100.00%,9,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,12.4,
,75,1,1998,9/13/1998,2,26-193,MIN,@,STL,W 38-31,23,179,7.78,2,4,3,7,2.33,0,75.00%,1.75,,,,,,,,,,,,,,,,,,,,,,0,3,0,36.6,18.39375
,75,2,2000,10/15/2000,6,28-225,MIN,@,CHI,W 28-16,23,170,7.39,1,2,1,7,7,0,50.00%,3.5,,,,,,,,,,,,,,,,,,,,,,0,3,0,27.7,
,75,3,1997,8/31/1997,1,25-180,MIN,@,BUF,W 34-13,16,169,10.56,1,1,1,5,5,0,100.00%,5,,,,,,,,,,,,,,,,,,,,,,0,3,0,27.4,
,75,4,1997,12/21/1997,16,25-292,MIN,,IND,W 39-28,17,160,9.41,0,3,2,15,7.5,0,66.70%,5,,,,,,,,,,,,,,,,,,,,,,0,3,0,22.5,
,75,5,2000,11/23/2000,12,28-264,MIN,@,DAL,W 27-15,21,148,7.05,1,2,1,-6,-6,0,50.00%,-3,,,,,,,,,,,,,,,,,,,,,,0,3,0,24.2,
,75,6,1999,12/26/1999,15,27-297,MIN,@,NYG,W 34-17,16,146,9.13,1,1,1,9,9,0,100.00%,9,,,,,,,,,,,,,,,,,,,,,,0,3,0,25.5,
,75,7,1998,11/8/1998,9,26-249,MIN,,NOR,W 31-24,20,137,6.85,1,3,1,9,9,0,33.30%,3,,,,,,,,,,,,,,,,,,,,,,0,3,0,24.6,
,75,8,1998,10/25/1998,7,26-235,MIN,@,DET,W 34-13,19,134,7.05,1,1,0,0,,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,0,3,0,22.4,
,75,9,2000,10/1/2000,4,28-211,MIN,@,DET,W 31-24,16,134,8.38,1,2,2,19,9.5,0,100.00%,9.5,,,,,,,,,,,,,,,,,,,,,,0,3,0,26.3,
